"Country","Code","Year","Continent","High.systolic.blood.pressure","Alcohol.use","Low.birth.weight","Unsafe.sex","Low.physical.activity","High.fasting.plasma.glucose","High.body.mass.index","Drug.use","Low.bone.mineral.density","Vitamin.A.deficiency","Iron.deficiency","Breastfeeding","Child.growth","Tobacco","Dietary","Unsafe.water","Air.pollution","Death_Rate_Cat","rgroup"
"Slovakia","SVK","1993","Europe",0.510371521376647,0.49116192819893,-0.251667327986616,-0.260570334200302,0.410141917635763,0.256032175997791,0.522279437483608,0.302424431096463,0.43687908791715,-0.826869791933753,-0.858596977863694,-0.488707545719482,-0.484532921300814,0.500185586681778,0.702729555714545,-0.749123872137586,0.265523351689868,"1",0.581134224310517
"Slovakia","SVK","1994","Europe",0.499798667033638,0.473103003770366,-0.29078684994205,-0.269166767336845,0.404648268225819,0.249284117121476,0.516876101056596,0.296553491748375,0.422424094572745,-0.826869791933753,-0.858596977863694,-0.515245101537436,-0.516132373344381,0.484627896818866,0.69232999374574,-0.774930895097778,0.252698657232759,"1",0.218326922040433
"Slovakia","SVK","2003","Europe",0.508665780734584,0.472228748955019,-0.519248583325638,-0.276182596037939,0.443144733047492,0.293114432509257,0.557999415201627,0.364707955359002,0.226268345681654,-0.826869791933753,-0.858596977863694,-0.74505281955206,-0.744967627164978,0.439934390353008,0.675359124019203,-0.907790527140918,0.188713884380206,"0",0.173223258228973
"Slovakia","SVK","2011","Europe",0.477858405532294,0.500717285882241,-0.619772786897963,-0.218681901206853,0.462986831540746,0.296657062188964,0.540965458969661,0.412345481376621,0.329328289448444,-0.826869791933753,-1.14054521995613,-0.879481716966916,-0.823321872734153,0.404253773270152,0.623964776278832,-0.894223792358314,0.139886181837438,"0",0.0781490535009652
"Slovenia","SVN","1993","Europe",-0.0516317120540596,0.188611806107528,-0.925344674556336,-0.654532824220385,-0.205602835357522,-0.248980845539508,-0.0830012658262482,-0.0717835051581373,0.141907388125412,-0.826869791933753,-1.14054521995613,-1.10928943498154,-1.25553760163349,-0.0104141938879011,0.0567778058697613,-1.257286370837,-0.218902346872751,"0",0.763314227806404
"Slovenia","SVN","1994","Europe",-0.0561918522860139,0.177952145891218,-0.96581791156343,-0.663957905893207,-0.207570868458699,-0.236953588848053,-0.0778050059964944,-0.0682969216127635,0.145844329451072,-0.826869791933753,-1.14054521995613,-1.10928943498154,-1.25553760163349,-0.00851317621687238,0.0537081459747443,-1.257286370837,-0.220575597333054,"0",0.587481365306303
"Slovenia","SVN","1999","Europe",-0.0805202564763657,0.120324901325401,-1.0925611697548,-0.649904107916548,-0.21352741054396,-0.213104774936425,-0.0447764779251135,0.00783363106177841,0.135935572041967,-0.826869791933753,-1.14054521995613,-1.33909715299616,-1.43001334969228,-0.00934383690498033,0.0123187943244261,-1.21653241904483,-0.271931689966681,"0",0.457075797952712
"Slovenia","SVN","2010","Europe",-0.120550492661269,0.0276302970656192,-1.18401048725284,-0.748856601240947,-0.223634539729737,-0.297702929078249,-0.0613083354301347,0.0749154102082683,0.254750491900941,-0.826869791933753,-1.14054521995613,-1.33909715299616,-1.51970621732796,-0.0823136357088268,-0.0825913414984985,-1.257286370837,-0.420309623560148,"0",0.781539237592369
"Slovenia","SVN","2016","Europe",-0.106168926748164,0.00430454840528325,-1.34478638826491,-0.754828044908081,-0.164360350937084,-0.299640323209775,-0.0305604579426061,0.0466880516523568,0.266844157460228,-0.826869791933753,-1.14054521995613,-1.33909715299616,-1.64612121414195,-0.0745023547812163,-0.0718165222979602,-1.257286370837,-0.459158702537962,"0",0.216174432076514
"Solomon Islands","SLB","1996","Oceania",-1.03383773813398,-1.46966686447092,-0.540786470860191,-0.96478274876284,-1.03202893061623,-0.945391024861308,-0.841528725181528,-0.784418175510633,-1.05552327864386,0.180950047376337,-0.129771344910493,-0.329708709271504,-0.156096871543841,-0.665995913104177,-0.72209827211323,0.0430742731498995,-0.459597978495577,"1",0.856854606419802
